20180724002804,127.0.0.1,50845,127.0.0.1,5001,5,0.0-1.0,598999040,4791992320
20180724002804,127.0.0.1,50842,127.0.0.1,5001,6,0.0-1.0,594411520,4755292160
20180724002804,127.0.0.1,50843,127.0.0.1,5001,8,0.0-1.0,591134720,4729077760
20180724002804,127.0.0.1,50841,127.0.0.1,5001,9,0.0-1.0,599261184,4794089472
20180724002804,127.0.0.1,50844,127.0.0.1,5001,7,0.0-1.0,590217216,4721737728
20180724002804,127.0.0.1,0,127.0.0.1,5001,-1,0.0-1.0,2974023680,23792189440
20180724002805,127.0.0.1,50845,127.0.0.1,5001,5,1.0-2.0,625606656,5004853248
20180724002805,127.0.0.1,50842,127.0.0.1,5001,6,1.0-2.0,597426176,4779409408
20180724002805,127.0.0.1,50843,127.0.0.1,5001,8,1.0-2.0,613023744,4904189952
20180724002805,127.0.0.1,50841,127.0.0.1,5001,9,1.0-2.0,607125504,4857004032
20180724002805,127.0.0.1,50844,127.0.0.1,5001,7,1.0-2.0,615645184,4925161472
20180724002805,127.0.0.1,0,127.0.0.1,5001,-1,1.0-2.0,3058827264,24470618112
20180724002806,127.0.0.1,50845,127.0.0.1,5001,5,2.0-3.0,587071488,4696571904
20180724002806,127.0.0.1,50842,127.0.0.1,5001,6,2.0-3.0,625737728,5005901824
20180724002806,127.0.0.1,50843,127.0.0.1,5001,8,2.0-3.0,634650624,5077204992
20180724002806,127.0.0.1,50841,127.0.0.1,5001,9,2.0-3.0,585891840,4687134720
20180724002806,127.0.0.1,50844,127.0.0.1,5001,7,2.0-3.0,630325248,5042601984
20180724002806,127.0.0.1,0,127.0.0.1,5001,-1,2.0-3.0,3063676928,24509415424
20180724002807,127.0.0.1,50845,127.0.0.1,5001,5,3.0-4.0,625868800,5006950400
20180724002807,127.0.0.1,50842,127.0.0.1,5001,6,3.0-4.0,604766208,4838129664
20180724002807,127.0.0.1,50843,127.0.0.1,5001,8,3.0-4.0,620888064,4967104512
20180724002807,127.0.0.1,50841,127.0.0.1,5001,9,3.0-4.0,632815616,5062524928
20180724002807,127.0.0.1,50844,127.0.0.1,5001,7,3.0-4.0,629276672,5034213376
20180724002807,127.0.0.1,0,127.0.0.1,5001,-1,3.0-4.0,3113615360,24908922880
20180724002808,127.0.0.1,50845,127.0.0.1,5001,5,4.0-5.0,610795520,4886364160
20180724002808,127.0.0.1,50842,127.0.0.1,5001,6,4.0-5.0,606470144,4851761152
20180724002808,127.0.0.1,50843,127.0.0.1,5001,8,4.0-5.0,612237312,4897898496
20180724002808,127.0.0.1,50841,127.0.0.1,5001,9,4.0-5.0,608698368,4869586944
20180724002808,127.0.0.1,50844,127.0.0.1,5001,7,4.0-5.0,610795520,4886364160
20180724002808,127.0.0.1,0,127.0.0.1,5001,-1,4.0-5.0,3048996864,24391974912
20180724002808,127.0.0.1,50845,127.0.0.1,5001,5,0.0-5.0,3050438656,4876844265
20180724002808,127.0.0.1,50842,127.0.0.1,5001,6,0.0-5.0,3030908928,4845645607
20180724002808,127.0.0.1,50843,127.0.0.1,5001,8,0.0-5.0,3074162688,4905347188
20180724002808,127.0.0.1,50841,127.0.0.1,5001,9,0.0-5.0,3035889664,4854144002
20180724002808,127.0.0.1,50844,127.0.0.1,5001,7,0.0-5.0,3078094848,4921625722
20180724002808,127.0.0.1,0,127.0.0.1,5001,-1,0.0-5.0,15269494784,24365064868
